Designator,Mid X,Mid Y,Rotation,Layer
C1,97.25,-93.75,270.0,bottom
C11,98.5,-86.0,180.0,bottom
C13,78.6464,-79.9084,0.0,bottom
C14,80.399,-73.2028,0.0,bottom
C16,88.1,-72.4,90.0,bottom
C19,95.75,-74.5,180.0,bottom
C2,94.5,-94.0,180.0,bottom
C20,87.8,-110.44,90.0,bottom
C21,85.1,-102.3,90.0,bottom
C5,79.9084,-85.0646,0.0,bottom
C6,80.4,-90.6,0.0,bottom
C78,87.4268,-97.4344,180.0,bottom
C8,98.5,-79.75,180.0,bottom
C9,87.0,-93.5,270.0,bottom
FB1,96.0,-97.25,90.0,bottom
R20,91.8098,-97.7058,270.0,bottom
R31,93.7,-103.8,90.0,bottom
R4,87.4188,-98.3488,180.0,bottom
U1,84.4,-76.7,0.0,top
U10,88.4428,-90.3224,270.0,bottom
U11,81.65,-87.75,180.0,bottom
U12,81.1,-82.25,180.0,bottom
U13,80.5,-77.25,180.0,bottom
U14,83.75,-72.35,270.0,bottom
U15,90.5,-72.15,270.0,bottom
U16,95.95,-77.25,0.0,bottom
U17,95.8,-82.15,0.0,bottom
U18,95.65,-87.85,0.0,bottom
U19,96.52,-111.76,90.0,bottom
U2,102.1985,-78.0582,270.0,bottom
U20,81.3,-111.74,90.0,bottom
U21,81.3,-109.24,90.0,bottom
U22,81.28,-106.68,90.0,bottom
U3,76.2063,-67.6964,180.0,bottom
U4,100.4375,-91.75,270.0,bottom
U5,75.7237,-82.0474,180.0,bottom
U6,83.8508,-92.9323,90.0,bottom
U7,89.281,-101.5746,270.0,bottom
U8,96.52,-106.68,90.0,bottom
U9,96.52,-109.22,90.0,bottom
