Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,XT30PW-M30.G.Y,C431092
"C1, C13, C14, C15, C18, C20, C22, C23, C24, C25, C30, C36, C38, C39, C41, C42, C43, C46, C51, C52, C53, C54, C55, C56, C59, C6, C63, C64, C68, C7, C70, C72, C73, C8, C9",C_0402,35,100nF,C307331
"C10, C11, C12, C16, C28, C67, C69, C71, C77, C79, C80",C_1206,11,47uF,C96123
"C17, C2, C21, C26, C29, C32, C4, C5, C76",C_0805,9,10uF,C15850
"C19, C44, C45, C78",C_0402,4,10pF,C32949
"C27, C3, C58, C81",C_0402,4,4.7uF,C23733
"C31, C37, C40, C57, C60",C_0402,5,1uF,C52923
"C61, C62",C_0603,2,2.2uF,C23630
"C65, C66",C_0402,2,470pF,C1537
"C74, C75",C_0402,2,20pF,C1554
"D1, D2, D3",D_0603,3,Red,C2286
"FB1, FB2, FB3, FB4",FB_0805,4,~,C1015
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,HX PZ1.27-2x5P TP,
"J11, J3, J7, J8, J9",SMA_Wurth_60312102114405_Vertical,5,KH-SMAK-SMT,
J12,PinHeader_1x03_P2.54mm_Vertical,1,2.54-1*3PPin,C49257
J4,microSD_HC_Molex_104031-0811,1,1040310811,C585350
J6,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"R1, R105, R19, R22, R32, R36, R47, R7, R89, R97, R98, R99",R_0402,12,1kΩ,C11702
"R10, R101, R107, R109, R11, R110, R111, R113, R114, R115, R116, R117, R120, R15, R16, R17, R18, R20, R21, R23, R24, R27, R28, R30, R31, R35, R37, R43, R44, R45, R52, R53, R55, R56, R57, R58, R71, R78, R85, R86, R87, R88, R92, R95, R96",R_0402,45,0Ω,C17168
"R100, R106, R13",R_0402,3,49.9Ω,C25120
"R102, R51, R8",R_1206,3,0Ω,C17888
"R103, R34, R4",R_0402,3,10kΩ,C25744
"R104, R94",R_0603,2,5.1kΩ,C23186
R108,R_0402,1,1Ω,C25086
R112,R_0805,1,0Ω,C17477
"R118, R3, R42, R46, R90, R91",R_0402,6,100kΩ,C25741
"R119, R2, R29, R49, R5, R54",R_0603,6,270kΩ,C22965
R12,R_0402,1,33kΩ,C25779
"R14, R26",R_0402,2,100Ω,C25076
"R25, R50, R6",R_0402,3,12kΩ,C25752
"R33, R39",R_0402,2,470kΩ,C25790
R38,R_0402,1,220kΩ,C25767
"R40, R93",R_0402,2,1MΩ,C26083
"R41, R59, R60, R61, R62, R63, R64",R_0402,7,47kΩ,C25792
"R48, R9",R_0402,2,22kΩ,C25768
"R65, R66, R67, R68, R69, R70, R72, R73, R74, R75, R76, R77, R79, R80, R81, R82, R83, R84",R_0402,18,10Ω,C25077
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
"TP1, TP2, TP5, TP6, TP7",TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,5,RH-5000,C5277086
"TP10, TP11, TP12, TP13, TP14, TP4, TP8, TP9",TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,8,RH-5001,C5199801
TP3,TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,1,RH-5001,
"U1, U28, U4",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,3,TPS7A9401DSCR,C5220127
U10,SOT-23-5,1,REF2033AIDDCR,C440747
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,LMP7721,
U12,SOT-23-5,1,LMP7715,
U14,LFCSP-16-1EP_3x3mm_P0.5mm_EP1.3x1.3mm_ThermalVias,1,ADA4940-1ACPZ-R2,C654337
U15,LQFP-100_14x14mm_P0.5mm,1,STM32H7B0VBT6,C730227
"U16, U17",SOT-23-6,2,OPA847IDBVR,C160422
U19,TSSOP-16_4.4x5mm_P0.65mm,1,TMUX1108PW,
"U2, U3",PinHeader_03x03_0.1in,2,HX PZ2.54-3x3P ZZ,C32713290
"U24, U25",SOIC-8_3.9x4.9mm_P1.27mm,2,APS6404L-3SQR-SN,C5333729
U27,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,REF5025AIDR,
U5,SSOP-24_5.3x8.2mm_P0.65mm,1,"74HC4067PW,118",C179326
U9,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,CJ431,C3113
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322516MLB4SI,C13738
